id 	 label 	 feature
1	bin1	telomere
2	bin2	telomere
3	bin3	telomere
4	bin4	telomere
5	bin5	telomere
6	bin6	nuclear_DNA
7	bin7	nuclear_DNA
8	bin8	nuclear_DNA
9	bin9	nuclear_DNA
10	bin10	nuclear_DNA
11	bin11	nuclear_DNA
12	bin12	nuclear_DNA
13	bin13	nuclear_DNA
14	bin14	nuclear_DNA
15	bin15	nuclear_DNA
16	bin16	nuclear_DNA
17	bin17	nuclear_DNA
18	bin18	nuclear_DNA
19	bin19	nuclear_DNA
20	bin20	nuclear_DNA
21	bin21	nuclear_DNA
22	bin22	nuclear_DNA
23	bin23	nuclear_DNA
24	bin24	nuclear_DNA
25	bin25	nuclear_DNA
26	bin26	nuclear_DNA
27	bin27	nuclear_DNA
28	bin28	nuclear_DNA
29	bin29	nuclear_DNA
30	bin30	nuclear_DNA
31	bin31	nuclear_DNA
32	bin32	nuclear_DNA
33	bin33	nuclear_DNA
34	bin34	nuclear_DNA
35	bin35	nuclear_DNA
36	bin36	nuclear_DNA
37	bin37	nuclear_DNA
38	bin38	nuclear_DNA
39	bin39	nuclear_DNA
40	bin40	nuclear_DNA
41	bin41	nuclear_DNA
42	bin42	nuclear_DNA
43	bin43	nuclear_DNA
44	bin44	nuclear_DNA
45	bin45	nuclear_DNA
46	bin46	nuclear_DNA
47	bin47	nuclear_DNA
48	bin48	nuclear_DNA
49	bin49	nuclear_DNA
50	bin50	nuclear_DNA
51	bin51	nuclear_DNA
52	bin52	nuclear_DNA
53	bin53	nuclear_DNA
54	bin54	nuclear_DNA
55	bin55	nuclear_DNA
56	bin56	nuclear_DNA
57	bin57	nuclear_DNA
58	bin58	nuclear_DNA
59	bin59	nuclear_DNA
60	bin60	nuclear_DNA
61	bin61	nuclear_DNA
62	bin62	nuclear_DNA
63	bin63	nuclear_DNA
64	bin64	nuclear_DNA
65	bin65	nuclear_DNA
66	bin66	nuclear_DNA
67	bin67	nuclear_DNA
68	bin68	nuclear_DNA
69	bin69	nuclear_DNA
70	bin70	nuclear_DNA
71	bin71	nuclear_DNA
72	bin72	nuclear_DNA
73	bin73	nuclear_DNA
74	bin74	nuclear_DNA
75	bin75	nuclear_DNA
76	bin76	nuclear_DNA
77	bin77	nuclear_DNA
78	bin78	nuclear_DNA
79	bin79	nuclear_DNA
80	bin80	nuclear_DNA
81	bin81	nuclear_DNA
82	bin82	nuclear_DNA
83	bin83	nuclear_DNA
84	bin84	nuclear_DNA
85	bin85	nuclear_DNA
86	bin86	nuclear_DNA
87	bin87	nuclear_DNA
88	bin88	nuclear_DNA
89	bin89	nuclear_DNA
90	bin90	nuclear_DNA
91	bin91	nuclear_DNA
92	bin92	nuclear_DNA
93	bin93	nuclear_DNA
94	bin94	nuclear_DNA
95	bin95	nuclear_DNA
96	bin96	nuclear_DNA
97	bin97	nuclear_DNA
98	bin98	nuclear_DNA
99	bin99	nuclear_DNA
100	bin100	nuclear_DNA
101	bin101	nuclear_DNA
102	bin102	nuclear_DNA
103	bin103	nuclear_DNA
104	bin104	nuclear_DNA
105	bin105	nuclear_DNA
106	bin106	nuclear_DNA
107	bin107	nuclear_DNA
108	bin108	nuclear_DNA
109	bin109	nuclear_DNA
110	bin110	nuclear_DNA
111	bin111	nuclear_DNA
112	bin112	nuclear_DNA
113	bin113	nuclear_DNA
114	bin114	nuclear_DNA
115	bin115	nuclear_DNA
116	bin116	nuclear_DNA
117	bin117	nuclear_DNA
118	bin118	nuclear_DNA
119	bin119	nuclear_DNA
120	bin120	nuclear_DNA
121	bin121	nuclear_DNA
122	bin122	nuclear_DNA
123	bin123	nuclear_DNA
124	bin124	nuclear_DNA
125	bin125	nuclear_DNA
126	bin126	nuclear_DNA
127	bin127	nuclear_DNA
128	bin128	nuclear_DNA
129	bin129	nuclear_DNA
130	bin130	nuclear_DNA
131	bin131	nuclear_DNA
132	bin132	nuclear_DNA
133	bin133	nuclear_DNA
134	bin134	nuclear_DNA
135	bin135	nuclear_DNA
136	bin136	nuclear_DNA
137	bin137	nuclear_DNA
138	bin138	nuclear_DNA
139	bin139	nuclear_DNA
140	bin140	nuclear_DNA
141	bin141	nuclear_DNA
142	bin142	nuclear_DNA
143	bin143	nuclear_DNA
144	bin144	nuclear_DNA
145	bin145	nuclear_DNA
146	bin146	nuclear_DNA
147	bin147	nuclear_DNA
148	bin148	nuclear_DNA
149	bin149	nuclear_DNA
150	bin150	nuclear_DNA
151	bin151	nuclear_DNA
152	bin152	nuclear_DNA
153	bin153	nuclear_DNA
154	bin154	nuclear_DNA
155	bin155	nuclear_DNA
156	bin156	nuclear_DNA
157	bin157	nuclear_DNA
158	bin158	nuclear_DNA
159	bin159	nuclear_DNA
160	bin160	nuclear_DNA
161	bin161	nuclear_DNA
162	bin162	nuclear_DNA
163	bin163	nuclear_DNA
164	bin164	nuclear_DNA
165	bin165	nuclear_DNA
166	bin166	nuclear_DNA
167	bin167	nuclear_DNA
168	bin168	nuclear_DNA
169	bin169	nuclear_DNA
170	bin170	nuclear_DNA
171	bin171	nuclear_DNA
172	bin172	nuclear_DNA
173	bin173	nuclear_DNA
174	bin174	nuclear_DNA
175	bin175	nuclear_DNA
176	bin176	nuclear_DNA
177	bin177	nuclear_DNA
178	bin178	nuclear_DNA
179	bin179	nuclear_DNA
180	bin180	nuclear_DNA
181	bin181	nuclear_DNA
182	bin182	nuclear_DNA
183	bin183	nuclear_DNA
184	bin184	nuclear_DNA
185	bin185	nuclear_DNA
186	bin186	nuclear_DNA
187	bin187	nuclear_DNA
188	bin188	nuclear_DNA
189	bin189	nuclear_DNA
190	bin190	nuclear_DNA
191	bin191	nuclear_DNA
192	bin192	nuclear_DNA
193	bin193	nuclear_DNA
